Company,Ticker,Sector,Sub-sector
apple,AAPL,Information Technology,"Technology Hardware, Storage & Peripherals"
microsoft,MSFT,Information Technology,Systems Software
amazon,AMZN,Consumer Discretionary,Internet & Direct Marketing Retail
tesla,TSLA,Consumer Discretionary,Automobile Manufacturers
facebook,FB,Communication Services,Interactive Media & Services
alphabet,GOOGL,Communication Services,Interactive Media & Services
berkshire-hathaway,BRK.B,Financials,Multi-Sector Holdings
johnson-johnson,JNJ,Health Care,Pharmaceuticals
jpmorgan-chase,JPM,Financials,Diversified Banks
visa,V,Information Technology,Data Processing & Outsourced Services
nvidia,NVDA,Information Technology,Semiconductors
procter-gamble,PG,Consumer Staples,Personal Products
unitedhealth-group,UNH,Health Care,Managed Health Care
walt-disney,DIS,Communication Services,Movies & Entertainment
home-depot,HD,Consumer Discretionary,Home Improvement Retail
paypal-holdings,PYPL,Information Technology,Data Processing & Outsourced Services
mastercard,MA,Information Technology,Data Processing & Outsourced Services
netflix,NFLX,Communication Services,Movies & Entertainment
intel,INTC,Information Technology,Semiconductors
comcast,CMCSA,Communication Services,Cable & Satellite
bank-of-america,BAC,Financials,Diversified Banks
adobe,ADBE,Information Technology,Application Software
verizon,VZ,Communication Services,Integrated Telecommunication Services
abbott-laboratories,ABT,Health Care,Health Care Equipment
salesforce-inc,CRM,Information Technology,Application Software
thermo-fisher-scientific,TMO,Health Care,Life Sciences Tools & Services
at-t,T,Communication Services,Integrated Telecommunication Services
pfizer,PFE,Health Care,Pharmaceuticals
merck,MRK,Health Care,Pharmaceuticals
walmart,WMT,Consumer Staples,Hypermarkets & Super Centers
cisco-systems,CSCO,Information Technology,Communications Equipment
exxon-mobil,XOM,Energy,Integrated Oil & Gas
pepsico,PEP,Consumer Staples,Soft Drinks
broadcom,AVGO,Information Technology,Semiconductors
coca-cola,KO,Consumer Staples,Soft Drinks
qualcomm,QCOM,Information Technology,Semiconductors
abbvie,ABBV,Health Care,Pharmaceuticals
nike,NKE,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
chevron,CVX,Energy,Integrated Oil & Gas
eli-lilly,LLY,Health Care,Pharmaceuticals
nextera-energy,NEE,Utilities,Multi-Utilities
texas-instruments,TXN,Information Technology,Semiconductors
accenture,ACN,Information Technology,IT Consulting & Other Services
mcdonald's,MCD,Consumer Discretionary,Restaurants
costco,COST,Consumer Staples,Hypermarkets & Super Centers
danaher,DHR,Health Care,Health Care Equipment
medtronic,MDT,Health Care,Health Care Equipment
bristol-myers-squibb,BMY,Health Care,Health Care Distributors
amgen,AMGN,Health Care,Biotechnology
honeywell,HON,Industrials,Industrial Conglomerates
union-pacific,UNP,Industrials,Railroads
linde,LIN,Materials,Industrial Gases
wells-fargo,WFC,Financials,Diversified Banks
philip-morris,PM,Consumer Staples,Tobacco
citigroup,C,Financials,Diversified Banks
lowe's,LOW,Consumer Discretionary,Home Improvement Retail
oracle,ORCL,Information Technology,Application Software
starbucks,SBUX,Consumer Discretionary,Restaurants
ups,UPS,Industrials,Air Freight & Logistics
servicenow,NOW,Information Technology,Systems Software
ibm,IBM,Information Technology,IT Consulting & Other Services
amd,AMD,Information Technology,Semiconductors
american-tower,AMT,Real Estate,Specialized REITs
boeing,BA,Industrials,Aerospace & Defense
raytheon-technologies,RTX,Industrials,Aerospace & Defense
blackrock,BLK,Financials,Asset Management & Custody Banks
3m,MMM,Industrials,Industrial Conglomerates
caterpillar,CAT,Industrials,Construction Machinery & Heavy Trucks
intuit,INTU,Information Technology,Application Software
morgan-stanley,MS,Financials,Investment Banking & Brokerage
goldman-sachs,GS,Financials,Investment Banking & Brokerage
general-electric,GE,Industrials,Industrial Conglomerates
cvs-health,CVS,Health Care,Health Care Services
applied-materials,AMAT,Information Technology,Semiconductor Equipment
target,TGT,Consumer Discretionary,General Merchandise Stores
deere,DE,Industrials,Agricultural & Farm Machinery
micron-technology,MU,Information Technology,Semiconductors
intuitive-surgical,ISRG,Health Care,Health Care Equipment
charter,CHTR,Communication Services,Cable & Satellite
gilead-sciences,GILD,Health Care,Biotechnology
booking-holdings,BKNG,Consumer Discretionary,Internet & Direct Marketing Retail
fidelity-national-information-services,FIS,Information Technology,Data Processing & Outsourced Services
lockheed-martin,LMT,Industrials,Aerospace & Defense
charles-schwab,SCHW,Financials,Investment Banking & Brokerage
mondelez,MDLZ,Consumer Staples,Packaged Foods & Meats
cigna,CI,Health Care,Managed Health Care
prologis,PLD,Real Estate,Industrial REITs
s-p-global,SPGI,Financials,Financial Exchanges & Data
tjx,TJX,Consumer Discretionary,Apparel Retail
american-express,AXP,Financials,Consumer Finance
becton-dickinson,BDX,Health Care,Health Care Equipment
altria,MO,Consumer Staples,Tobacco
t-mobile-us,TMUS,Communication Services,Wireless Telecommunication Services
stryker,SYK,Health Care,Health Care Equipment
zoetis,ZTS,Health Care,Pharmaceuticals
anthem,ANTM,Health Care,Managed Health Care
lam-research,LRCX,Information Technology,Semiconductor Equipment
adp,ADP,Information Technology,Internet Services & Infrastructure
crown-castle,CCI,Real Estate,Specialized REITs
activision-blizzard,ATVI,Communication Services,Interactive Home Entertainment
duke-energy,DUK,Utilities,Electric Utilities
equinix,EQIX,Real Estate,Specialized REITs
colgate-palmolive,CL,Consumer Staples,Household Products
cme-group,CME,Financials,Financial Exchanges & Data
chubb,CB,Financials,Property & Casualty Insurance
